text,drug,effect
RESULTS: Extensive squamous metaplasia was found in endometrial glands following progestin therapy.,progestin,squamous metaplasia
Fever caused by the use of furosemide was proved; the fever resolved after discontinuation of this medication and recurred after its reintroduction.,furosemide,Fever
Furosemide-associated fever.,Furosemide,fever
The dose-limiting toxicity of KW-2149 is pulmonary toxicity.,KW-2149,pulmonary toxicity
"Musculoskeletal complaints were the presenting symptoms in four of 44 children (9%) treated for relapsed Wilms' tumors with ifosfamide, a derivative of cyclophosphamide.",cyclophosphamide,Musculoskeletal complaints
"Musculoskeletal complaints were the presenting symptoms in four of 44 children (9%) treated for relapsed Wilms' tumors with ifosfamide, a derivative of cyclophosphamide.",ifosfamide,Musculoskeletal complaints
Recognition of a potential drug-induced Fanconi syndrome is important when managing pediatric oncology patients previously treated with ifosfamide.,ifosfamide,Fanconi syndrome
"Our cases constitute the most severe cases of benzarone hepatotoxicity reported so far, and comprise the first cases of (sub)fulminant hepatitis and cirrhosis related to benzarone.",benzarone,cirrhosis
"Our cases constitute the most severe cases of benzarone hepatotoxicity reported so far, and comprise the first cases of (sub)fulminant hepatitis and cirrhosis related to benzarone.",benzarone,cirrhosis
"Our cases constitute the most severe cases of benzarone hepatotoxicity reported so far, and comprise the first cases of (sub)fulminant hepatitis and cirrhosis related to benzarone.",benzarone,hepatotoxicity
"Our cases constitute the most severe cases of benzarone hepatotoxicity reported so far, and comprise the first cases of (sub)fulminant hepatitis and cirrhosis related to benzarone.",benzarone,(sub)fulminant hepatitis
"Our cases constitute the most severe cases of benzarone hepatotoxicity reported so far, and comprise the first cases of (sub)fulminant hepatitis and cirrhosis related to benzarone.",benzarone,(sub)fulminant hepatitis
Severe hepatotoxicity related to benzarone: a report of three cases with two fatalities.,benzarone,Severe hepatotoxicity
"We report three cases of severe hepatotoxicity related to benzarone, a benzofuran derivative.",benzarone,severe hepatotoxicity
"We stress the potential of benzarone to cause hepatotoxicity, which usually resembles severe chronic active hepatitis.",benzarone,hepatotoxicity
"We stress the potential of benzarone to cause hepatotoxicity, which usually resembles severe chronic active hepatitis.",benzarone,severe chronic active hepatitis
Case study: a modified topical treatment regimen for sodium warfarin-induced necrotizing fasciitis.,warfarin,necrotizing fasciitis
"This case study describes an atypical case of refractory, sodium warfarin-induced necrotizing fasciitis and myonecrosis.",sodium warfarin,myonecrosis
"This case study describes an atypical case of refractory, sodium warfarin-induced necrotizing fasciitis and myonecrosis.",sodium warfarin,necrotizing fasciitis
"Clinicians who manage cachectic patients, particularly those with protracted diarrhoea and/or receiving anti-malarial drugs including mefloquine, should be aware of the risk of severe hypoglycaemia.",mefloquine,severe hypoglycaemia
Mechanisms and triggering factors of hypoglycaemia induced by mefloquine and some other anti-malarial quinine analogues are discussed.,mefloquine,hypoglycaemia
Mefloquine-associated hypoglycaemia in a cachectic AIDS patient.,Mefloquine,hypoglycaemia
"Quinine and its isomer quinidine are well-known causes of iatrogenic hypoglycaemia, due to excessive insulin secretion.",quinidine,iatrogenic hypoglycaemia
"Quinine and its isomer quinidine are well-known causes of iatrogenic hypoglycaemia, due to excessive insulin secretion.",Quinine,iatrogenic hypoglycaemia
"We report a case of hypoglycaemia after mefloquine therapy (1,500 mg over two days) for severe gastrointestinal cryptosporidiasis in a cachectic AIDS patient with protracted diarrhoea.",mefloquine,hypoglycaemia
"Because sumatriptan can cause coronary artery vasospasm, patients with significant risk factors for coronary artery disease should be carefully evaluated for cardiovascular disease prior to the use of sumatriptan.",sumatriptan,coronary artery vasospasm
Cardiac arrest following use of sumatriptan.,sumatriptan,Cardiac arrest
I report a 35-year-old woman with occult coronary artery disease who experienced cardiac arrest within minutes after receiving a first-time dose of subcutaneous sumatriptan for migraine.,sumatriptan,cardiac arrest
Sotalol-induced bradycardia reversed by glucagon.,Sotalol,bradycardia
We present a case of sotalol-induced bradycardia reversed by glucagon.,sotalol,bradycardia
Secretory endometrial adenocarcinoma in a patient on tamoxifen for breast cancer: a report of a case.,tamoxifen,Secretory endometrial adenocarcinoma
This unusual pattern of low-grade endometrial carcinoma adds to the spectrum of uterine neoplasia associated with tamoxifen therapy.,tamoxifen,low-grade endometrial carcinoma
This unusual pattern of low-grade endometrial carcinoma adds to the spectrum of uterine neoplasia associated with tamoxifen therapy.,tamoxifen,uterine neoplasia
We believe that this is the first report of secretory carcinoma of the endometrium associated with tamoxifen use.,tamoxifen,secretory carcinoma of the endometrium
Well-differentiated endometrial adenocarcinoma of the secretory type (FIGO Grade 1) with minimal myometrial invasion occurred in a postmenopausal patient on tamoxifen therapy 5 years after mastectomy for breast carcinoma.,tamoxifen,endometrial adenocarcinoma of the secretory type
Esophageal candidiasis following omeprazole therapy: a report of two cases.,omeprazole,Esophageal candidiasis
Esophageal candidiasis was diagnosed at endoscopy in two patients receiving omeprazole therapy.,omeprazole,Esophageal candidiasis
High-grade atrioventricular block during dipyridamole stress testing.,dipyridamole,High-grade atrioventricular block
We present a case in which dipyridamole induced high-grade atrioventricular (AV) block that responded promptly to intravenous aminophylline but not to atropine.,dipyridamole,high-grade atrioventricular (AV) block
Aggressive management of doxorubicin-induced cardiomyopathy associated with 'low' doses of doxorubicin.,doxorubicin,cardiomyopathy
Aggressive management of doxorubicin-induced cardiomyopathy associated with 'low' doses of doxorubicin.,doxorubicin,cardiomyopathy
There is a dose-effect relationship between doxorubicin and the incidence of symptomatic cardiac failure.,doxorubicin,symptomatic cardiac failure
Ovarian endometrioid carcinoma and endometriosis developing in a postmenopausal breast cancer patient during tamoxifen therapy: a case report and review of the literature.,tamoxifen,endometriosis
Ovarian endometrioid carcinoma and endometriosis developing in a postmenopausal breast cancer patient during tamoxifen therapy: a case report and review of the literature.,tamoxifen,Ovarian endometrioid carcinoma
The association with prolonged unopposed estrogen-like stimulation with tamoxifen as a possible factor in the development of ovarian endometrioid carcinoma is discussed.,tamoxifen,ovarian endometrioid carcinoma
We present the first case of ovarian endometrioid carcinoma and endometriosis in a postmenopausal patient who was treated with tamoxifen for breast cancer.,tamoxifen,endometriosis
We present the first case of ovarian endometrioid carcinoma and endometriosis in a postmenopausal patient who was treated with tamoxifen for breast cancer.,tamoxifen,ovarian endometrioid carcinoma
Cerebral demyelinating disease developed in a patient during adjuvant therapy with levamisole for malignant melanoma.,levamisole,Cerebral demyelinating disease
Multifocal inflammatory leukoencephalopathy associated with levamisole therapy.,levamisole,Multifocal inflammatory leukoencephalopathy
Observations in our patient suggest that the leukoencephalopathy that developed in previously reported patients who received 5-fluorouracil and levamisole may have been caused at least partly by levamisole.,5-fluorouracil,leukoencephalopathy
Observations in our patient suggest that the leukoencephalopathy that developed in previously reported patients who received 5-fluorouracil and levamisole may have been caused at least partly by levamisole.,levamisole,leukoencephalopathy
Observations in our patient suggest that the leukoencephalopathy that developed in previously reported patients who received 5-fluorouracil and levamisole may have been caused at least partly by levamisole.,levamisole,leukoencephalopathy
A case of noncardiogenic pulmonary edema by ethanolamine oleate.,ethanolamine oleate,noncardiogenic pulmonary edema
"However, EO-induced noncardiogenic pulmonary edema has not been reported in human.",EO,noncardiogenic pulmonary edema
We report a case of noncardiogenic pulmonary edema developed after therapeutic trial of EO as sclerosing agent for esophageal varix.,EO,noncardiogenic pulmonary edema
Five patients are described in whom only gentamicin sulfate appeared responsible for acute renal failure.,gentamicin sulfate,acute renal failure
Gentamicin-associated acute renal failure.,Gentamicin,acute renal failure
"Renal failure appeared 8 to 17 days after beginning gentamicin therapy and was characterized by creatinine clearances 4 to 10 ml/min, urine to plasma creatinine ratios less than 20, urinary sodium concentrations 16 to 60 mEq/liter, proteinuria, and cylindruria.",gentamicin,Renal failure
A 15-year follow-up of phenytoin-induced unilateral gingival hyperplasia: a case report.,phenytoin,unilateral gingival hyperplasia
INTRODUCTION-The aim of this case report is to present a 15-year follow-up of a patient with phenytoin (PHT) intoxication with unilateral gingival hyperplasia (GH).,phenytoin,unilateral gingival hyperplasia
INTRODUCTION-The aim of this case report is to present a 15-year follow-up of a patient with phenytoin (PHT) intoxication with unilateral gingival hyperplasia (GH).,PHT,unilateral gingival hyperplasia
"We report a case of generalized cutaneous sclerosis associated with muscle and oesophageal involvement in a patient exposed to herbicides containing bromocil, diuron and aminotriazole.",aminotriazole,generalized cutaneous sclerosis
"We report a case of generalized cutaneous sclerosis associated with muscle and oesophageal involvement in a patient exposed to herbicides containing bromocil, diuron and aminotriazole.",bromocil,generalized cutaneous sclerosis
"We report a case of generalized cutaneous sclerosis associated with muscle and oesophageal involvement in a patient exposed to herbicides containing bromocil, diuron and aminotriazole.",diuron,generalized cutaneous sclerosis
Albuterol-induced hypokalemia and its potential cardiac toxicity are discussed briefly.,Albuterol,cardiac toxicity
Albuterol-induced hypokalemia and its potential cardiac toxicity are discussed briefly.,Albuterol,hypokalemia
Hypokalemia after normal doses of neubulized albuterol (salbutamol).,albuterol,Hypokalemia
Hypokalemia after normal doses of neubulized albuterol (salbutamol).,salbutamol,Hypokalemia
The cases of two asthmatic patients who became hypokalemic after inhalation of normal doses of albuterol are presented.,albuterol,hypokalemic
Propoxyphene-induced wide complex dysrhythmia responsive to sodium bicarbonate therapy has not been previously reported in the literature.,Propoxyphene,wide complex dysrhythmia
Propoxyphene-induced wide QRS complex dysrhythmia responsive to sodium bicarbonate--a case report.,Propoxyphene,wide QRS complex dysrhythmia
Case report: mannitol nephrotoxicity syndrome: role of hemodialysis and postulate of mechanisms.,mannitol,nephrotoxicity syndrome
Hemodialysis should be performed for rapid reversal of mannitol-induced ARF.,mannitol,ARF
High-dose intravenous mannitol infusion in various clinical settings may result in acute renal failure (ARF).,mannitol,acute renal failure
High-dose intravenous mannitol infusion in various clinical settings may result in acute renal failure (ARF).,mannitol,ARF
Mannitol-induced ARF responds promptly to hemodialysis with rapid resolution of anuria and recovery of renal failure.,Mannitol,ARF
The literature is also reviewed for ARF associated with mannitol infusion in patients who received dialysis and those who did not receive dialysis; and the possible mechanism(s) of mannitol nephrotoxicity are discussed.,mannitol,ARF
The literature is also reviewed for ARF associated with mannitol infusion in patients who received dialysis and those who did not receive dialysis; and the possible mechanism(s) of mannitol nephrotoxicity are discussed.,mannitol,nephrotoxicity
This is a report of a case of anuric ARF after high-dose mannitol infusion for treatment of narrow-angle glaucoma that readily responded to acute hemodialysis.,mannitol,anuric ARF
Two patients with extrapyramidal side effects after the use of fluphenazine decanoate were evaluated by means of IBZM-SPECT.,fluphenazine decanoate,extrapyramidal side effects
Flumazenil reversal of benzodiazepine-induced sedation for a patient with severe pre-ECT anxiety.,benzodiazepine,sedation
"CASE SUMMARY: A 68-year-old woman developed a dry, irritating cough within one month of starting quinapril therapy for the treatment of essential hypertension.",quinapril,irritating cough
Cough induced by quinapril with resolution after changing to fosinopril.,quinapril,Cough
"OBJECTIVE: To report a case of chronic, nonproductive cough secondary to the angiotensin-converting enzyme (ACE) inhibitor quinapril, with complete resolution after switching to another ACE inhibitor, fosinopril.",quinapril,cough
The cough continued for the duration of therapy with quinapril.,quinapril,cough
"We report a case of cough following the administration of quinapril, with complete resolution after changing to the alternative ACE inhibitor fosinopril in a patient with essential hypertension.",quinapril,cough
"Fracture of the femoral neck occurred in one patient during PSL therapy, although the relationship between the fracture and PSL therapy was uncertain.",PSL,Fracture of the femoral neck
Cefuroxime-induced acute renal failure.,Cefuroxime,acute renal failure
"In our patient, DIAN possibly was related to cefuroxime, but the patient did not experience associated allergic symptoms.",cefuroxime,DIAN
The diagnosis was supported by the temporal course of renal deterioration during exposure to cefuroxime and improvement on its discontinuation; the pattern repeated with rechallenge.,cefuroxime,renal deterioration
This is the first reported case of suspected DIAN due to cefuroxime.,cefuroxime,DIAN
A case of basilar invagination which is thought to have arisen from the patient's intrauterine exposure to phenytoin is presented.,phenytoin,basilar invagination
Basilar invagination and mid-line skeletal abnormalities due to in utero exposure to phenytoin.,phenytoin,Basilar invagination
Basilar invagination and mid-line skeletal abnormalities due to in utero exposure to phenytoin.,phenytoin,mid-line skeletal abnormalities
His symptoms of brain stem compression were alleviated and the role of phenytoin in the production of his craniocervical abnormality is discussed.,phenytoin,craniocervical abnormality
Temporary neurologic abnormalities were observed in one out of 23 patients undergoing chemotherapy with high-dose methotrexate (HD-MTX) for osteogenic sarcoma.,methotrexate,Temporary neurologic abnormalities
"This patient developed sequential symptoms including alternative hemiparesis, dysarthria and altered consciousness 5 days after the second course of HD-MTX (8 gm/m2 by 6 h continuous infusion) with leucovorin rescue.",HD-MTX,altered consciousness
"This patient developed sequential symptoms including alternative hemiparesis, dysarthria and altered consciousness 5 days after the second course of HD-MTX (8 gm/m2 by 6 h continuous infusion) with leucovorin rescue.",HD-MTX,dysarthria
"This patient developed sequential symptoms including alternative hemiparesis, dysarthria and altered consciousness 5 days after the second course of HD-MTX (8 gm/m2 by 6 h continuous infusion) with leucovorin rescue.",HD-MTX,hemiparesis
Transient neurological disturbances induced by the chemotherapy of high-dose methotrexate for osteogenic sarcoma.,methotrexate,Transient neurological disturbances
"We report a 5-year-old boy with CF who had a stricture of the hepatic flexure region with associated narrowing due to submucosal fibrosis of the transverse colon, secondary to high-lipase pancreatin therapy.",high-lipase pancreatin,stricture of the hepatic flexure region with associated narrowing
"We report a 5-year-old boy with CF who had a stricture of the hepatic flexure region with associated narrowing due to submucosal fibrosis of the transverse colon, secondary to high-lipase pancreatin therapy.",high-lipase pancreatin,submucosal fibrosis of the transverse colon
Acute pancreatitis associated with danazol treatment for endometriosis.,danazol,Acute pancreatitis
"Additionally, danazol produces hepatocellular damage in approximately 10% of women.",danazol,hepatocellular damage
Hypo-oestrogenic and anabolic/androgenic side-effects of danazol are well known by the gynaecologist and some of them are present in > 50% of patients being treated for endometriosis.,danazol,Hypo-oestrogenic and anabolic/androgenic side-effects
The present report describes the first case of acute pancreatitis associated with danazol treatment of endometriosis.,danazol,acute pancreatitis
Acyclovir neurotoxicity: clinical experience and review of the literature.,Acyclovir,neurotoxicity
Acyclovir produces neurologic symptoms that resemble extension of viral infection into the central nervous system.,Acyclovir,neurologic symptoms
"Systemic disease, most commonly renal dysfunction, preceded all 30 reported cases of acyclovir neurotoxicity.",acyclovir,neurotoxicity
We discuss our observations in the cases of two patients with acyclovir neurotoxicity and review the findings of all previous reports in the English language literature.,acyclovir,neurotoxicity
Response of a promethazine-induced coma to flumazenil.,promethazine,coma
We report the first case of a patient in a promethazine-induced coma responding to treatment with flumazenil.,promethazine,coma
Amebic abscess of the spleen complicated by metronidazole-induced neurotoxicity: case report.,metronidazole,Amebic abscess of the spleen
Amebic abscess of the spleen complicated by metronidazole-induced neurotoxicity: case report.,metronidazole,neurotoxicity
"We describe a patient with a liver abscess due to Entamoeba histolytica, in whom metronidazole therapy (total dose, 21 g over 14 days) was complicated by reversible deafness, tinnitus, and ataxia and who relapsed 5 months later with a splenic abscess.",metronidazole,ataxia
"We describe a patient with a liver abscess due to Entamoeba histolytica, in whom metronidazole therapy (total dose, 21 g over 14 days) was complicated by reversible deafness, tinnitus, and ataxia and who relapsed 5 months later with a splenic abscess.",metronidazole,liver abscess
"We describe a patient with a liver abscess due to Entamoeba histolytica, in whom metronidazole therapy (total dose, 21 g over 14 days) was complicated by reversible deafness, tinnitus, and ataxia and who relapsed 5 months later with a splenic abscess.",metronidazole,reversible deafness
"We describe a patient with a liver abscess due to Entamoeba histolytica, in whom metronidazole therapy (total dose, 21 g over 14 days) was complicated by reversible deafness, tinnitus, and ataxia and who relapsed 5 months later with a splenic abscess.",metronidazole,splenic abscess
"We describe a patient with a liver abscess due to Entamoeba histolytica, in whom metronidazole therapy (total dose, 21 g over 14 days) was complicated by reversible deafness, tinnitus, and ataxia and who relapsed 5 months later with a splenic abscess.",metronidazole,tinnitus
Actinomycin D associated hepatic veno-occlusive disease--a report of 2 cases.,Actinomycin D,hepatic veno-occlusive disease
There are now reports of liver failure following treatment of childhood cancers with AMD.,AMD,liver failure
Phenylpropanolamine-induced psychosis.,Phenylpropanolamine,psychosis
We report a cae of paranoid psychosis following use of a decongestant containing PPA and summarize the case report literature of psychiatric adverse effects to PPA in which doses were known and stated to be within recommended guidelines.,PPA,paranoid psychosis
We report a cae of paranoid psychosis following use of a decongestant containing PPA and summarize the case report literature of psychiatric adverse effects to PPA in which doses were known and stated to be within recommended guidelines.,PPA,psychiatric adverse effects
"CONCLUSIONS: Although budesonide may be beneficial because of its anti-inflammatory effects, clinicians should be alert to its potential for causing contact dermatitis.",budesonide,contact dermatitis
Contact dermatitis due to budesonide: report of five cases and review of the Japanese literature.,budesonide,Contact dermatitis
"METHODS: Five cases of contact dermatitis due to budesonide, a nonhalogenated steroid, are described.",budesonide,contact dermatitis
RESULTS: Budesonide use can cause contact dermatitis.,Budesonide,contact dermatitis
"Although other nitrites induce methemoglobinemia, exposure to methyl nitrite during phenylpropanolamine production appears to be a new cause of occupational methemoglobinemia.",methyl nitrite,methemoglobinemia
"Although other nitrites induce methemoglobinemia, exposure to methyl nitrite during phenylpropanolamine production appears to be a new cause of occupational methemoglobinemia.",methyl nitrite,methemoglobinemia
Methemoglobinemia: an occupational hazard of phenylpropanolamine production.,phenylpropanolamine,Methemoglobinemia
During and after IFN therapy we should consider the possibility of occurrence of IDDM as well as other autoimmune diseases and observe the clinical course carefully.,IFN,IDDM
"Four years after the beginning of IFN therapy, he acutely developed moderate hyperglycemia and severe ketonuria with positive islet cell antibody, and then 28 units/day of insulin injection was started.",IFN,moderate hyperglycemia
"Four years after the beginning of IFN therapy, he acutely developed moderate hyperglycemia and severe ketonuria with positive islet cell antibody, and then 28 units/day of insulin injection was started.",IFN,severe ketonuria
Occurrence of IDDM during interferon therapy for chronic viral hepatitis.,interferon,IDDM
We report a case of IDDM which occurred during interferon therapy for chronic hepatitis.,interferon,IDDM
Four patients who manifested symptoms of the antiepileptic drug (AED) hypersensitivity syndrome during therapy with carbamazepine are reported.,carbamazepine,hypersensitivity syndrome
Recurrent hypotension immediately after seizures in nortriptyline overdose.,nortriptyline,Recurrent hypotension
Recurrent hypotension immediately after seizures in nortriptyline overdose.,nortriptyline,seizures
The use of methotrexate (MTX) has been contraindicated for treatment of severe psoriasis in HIV infection on the basis of six previously reported cases in which MTX appeared to potentiate opportunistic infections and accelerate HIV disease.,methotrexate,accelerate HIV disease
The use of methotrexate (MTX) has been contraindicated for treatment of severe psoriasis in HIV infection on the basis of six previously reported cases in which MTX appeared to potentiate opportunistic infections and accelerate HIV disease.,MTX,accelerate HIV disease
The use of methotrexate (MTX) has been contraindicated for treatment of severe psoriasis in HIV infection on the basis of six previously reported cases in which MTX appeared to potentiate opportunistic infections and accelerate HIV disease.,MTX,accelerate HIV disease
CONCLUSIONS: This case describes the clinically significant increase of INR in an elderly patient after adding a chemotherapy regimen of levamisole and 5-FU to a previous regimen of warfarin alone.,5-FU,increase of INR
CONCLUSIONS: This case describes the clinically significant increase of INR in an elderly patient after adding a chemotherapy regimen of levamisole and 5-FU to a previous regimen of warfarin alone.,levamisole,increase of INR
CONCLUSIONS: This case describes the clinically significant increase of INR in an elderly patient after adding a chemotherapy regimen of levamisole and 5-FU to a previous regimen of warfarin alone.,warfarin,increase of INR
"However, prolongation of 5-FU half-life and an increase in INR have been reported with the concurrent use of 5-FU and warfarin.",5-FU,increase in INR
"However, prolongation of 5-FU half-life and an increase in INR have been reported with the concurrent use of 5-FU and warfarin.",warfarin,increase in INR
Cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole.,clindamycin,Cholestatic liver disease
Cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole.,trimethoprim-sulfamethoxazole,Cholestatic liver disease
Cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole.,clindamycin,ductopenia
Cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole.,trimethoprim-sulfamethoxazole,ductopenia
Cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole.,clindamycin,vanishing bile duct syndrome
Cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole.,trimethoprim-sulfamethoxazole,vanishing bile duct syndrome
"One patient who received clindamycin had liver biopsy findings of marked cholestasis, portal inflammation, bile duct injury and bile duct paucity (ductopenia).",clindamycin,bile duct injury
"One patient who received clindamycin had liver biopsy findings of marked cholestasis, portal inflammation, bile duct injury and bile duct paucity (ductopenia).",clindamycin,bile duct paucity
"One patient who received clindamycin had liver biopsy findings of marked cholestasis, portal inflammation, bile duct injury and bile duct paucity (ductopenia).",clindamycin,ductopenia
"One patient who received clindamycin had liver biopsy findings of marked cholestasis, portal inflammation, bile duct injury and bile duct paucity (ductopenia).",clindamycin,marked cholestasis
"One patient who received clindamycin had liver biopsy findings of marked cholestasis, portal inflammation, bile duct injury and bile duct paucity (ductopenia).",clindamycin,portal inflammation
"The second patient, who developed cholestasis after receiving trimethoprim-sulfamethoxazole, had marked duct paucity in the liver biopsy.",trimethoprim-sulfamethoxazole,cholestasis
"The second patient, who developed cholestasis after receiving trimethoprim-sulfamethoxazole, had marked duct paucity in the liver biopsy.",trimethoprim-sulfamethoxazole,duct paucity
"This is the first description, to our knowledge, of ductopenia apparently caused by clindamycin.",clindamycin,ductopenia
"Three years later, treatment with ampicillin caused another episode of cholestatic hepatitis with cholestasis and duct paucity on rebiopsy.",ampicillin,cholestasis
"Three years later, treatment with ampicillin caused another episode of cholestatic hepatitis with cholestasis and duct paucity on rebiopsy.",ampicillin,cholestatic hepatitis
"Three years later, treatment with ampicillin caused another episode of cholestatic hepatitis with cholestasis and duct paucity on rebiopsy.",ampicillin,duct paucity
"METHODS: A patient who developed dramatic, permanent vision loss after a 9-month course of treatment with ethambutol and isoniazid for pulmonary tuberculosis is presented.",ethambutol,vision loss
"METHODS: A patient who developed dramatic, permanent vision loss after a 9-month course of treatment with ethambutol and isoniazid for pulmonary tuberculosis is presented.",isoniazid,vision loss
"RESULTS: Ethambutol, and to a lesser extent isoniazid, are both implicated in the development of visually related side effects.",Ethambutol,development of visually related side effects
"RESULTS: Ethambutol, and to a lesser extent isoniazid, are both implicated in the development of visually related side effects.",isoniazid,development of visually related side effects
There is documentation of ocular toxicity with ethambutol when administered at dosages generally pronounced as being safe.,ethambutol,ocular toxicity
Toxic optic neuropathy associated with ethambutol: implications for current therapy.,ethambutol,Toxic optic neuropathy
"Currently the use of zidovudine is one of the few specific measures available, and as a potentially teratogenic and fetotoxic agent, any decision for its use requires evaluation of the potential for fetal damage.",zidovudine,fetal damage
"Currently the use of zidovudine is one of the few specific measures available, and as a potentially teratogenic and fetotoxic agent, any decision for its use requires evaluation of the potential for fetal damage.",zidovudine,fetotoxic
"Currently the use of zidovudine is one of the few specific measures available, and as a potentially teratogenic and fetotoxic agent, any decision for its use requires evaluation of the potential for fetal damage.",zidovudine,teratogenic
"In a series of 104 cases of intentional or inadvertent use of zidovudine at differing gestations in pregnancy, there were eight spontaneous first trimester abortions, eight therapeutic terminations, and eight cases of fetal abnormality occurring among a total of 88 cases where the pregnancy progressed.",zidovudine,fetal abnormality
"In a series of 104 cases of intentional or inadvertent use of zidovudine at differing gestations in pregnancy, there were eight spontaneous first trimester abortions, eight therapeutic terminations, and eight cases of fetal abnormality occurring among a total of 88 cases where the pregnancy progressed.",zidovudine,first trimester abortions
Zidovudine use in pregnancy: a report on 104 cases and the occurrence of birth defects.,Zidovudine,birth defects
Celiprolol pneumonitis.,Celiprolol,pneumonitis
"Inadvertent subsequent rechallenge with celiprolol led to recurrence of the pneumonitis, 10 weeks after drug readministration.",celiprolol,pneumonitis
"We report on a patient who developed hypersensitivity pneumonitis during treatment with the beta-blocker, celiprolol.",celiprolol,hypersensitivity pneumonitis
Ibopamine-induced reversible leukopenia during treatment for congestive heart failure.,Ibopamine,leukopenia
Reversible leukopenia was documented in an 81-year-old woman treated with adjunctive ibopamine 100 mg t.i.d. for chronic congestive heart failure.,ibopamine,Reversible leukopenia
Diphenylhydantoin apparently adversely affected both the clinical and biochemical parameters of the acute intermittent porphyria.,Diphenylhydantoin,acute intermittent porphyria
Significant clinical improvement of the porphyria followed withdrawal of the diphenylhydantoin.,diphenylhydantoin,porphyria
"A 53-year-old male, without any prior history of psychosis, developed schizophrenia 4 days after starting low-dose bromocriptine therapy for a macroprolactinoma.",bromocriptine,schizophrenia
Bromocriptine-induced schizophrenia.,Bromocriptine,schizophrenia
Concurrent acute megaloblastic anaemia and pneumonitis: a severe side-effect of low-dose methotrexate therapy during rheumatoid arthritis.,methotrexate,Concurrent acute megaloblastic anaemia
Concurrent acute megaloblastic anaemia and pneumonitis: a severe side-effect of low-dose methotrexate therapy during rheumatoid arthritis.,methotrexate,pneumonitis
"In a patient suffering from rheumatoid arthritis, we report the first simultaneous occurrence of two side effects of low-dose methotrexate: an acute megaloblastic anaemia and a pneumonitis.",methotrexate,acute megaloblastic anaemia
"In a patient suffering from rheumatoid arthritis, we report the first simultaneous occurrence of two side effects of low-dose methotrexate: an acute megaloblastic anaemia and a pneumonitis.",methotrexate,pneumonitis
"An 11-year-old boy who was treated with a relatively high dose of methotrimeprazine meleate (Levemepromazine) a phenothiazine antipsychotic drug, was admitted to the pediatric intensive care unit suffering from respiratory distress syndrome.",Levemepromazine,respiratory distress syndrome
"An 11-year-old boy who was treated with a relatively high dose of methotrimeprazine meleate (Levemepromazine) a phenothiazine antipsychotic drug, was admitted to the pediatric intensive care unit suffering from respiratory distress syndrome.",methotrimeprazine meleate,respiratory distress syndrome
The association of phenothiazine overdose and respiratory distress syndrome merits consideration.,phenothiazine,respiratory distress syndrome
"In two patients, apomorphine remained effective in the morning, but increased the intensity of the dyskinesias in the afternoon.",apomorphine,dyskinesias
"We report on three observations of parkinsonian patients with levo-dopa-induced diphasic dyskinesias, who received subcutaneous apomorphine to reduce the duration of abnormal movements.",levo-dopa,diphasic dyskinesias
Fulminant hepatitis with severe lactate acidosis in HIV-infected patients on didanosine therapy.,didanosine,Fulminant hepatitis
Fulminant hepatitis with severe lactate acidosis in HIV-infected patients on didanosine therapy.,didanosine,severe lactate acidosis
This prompted us to suspect that ddI might be responsible for fulminant hepatitis in all three AIDS patients.,ddI,fulminant hepatitis
We report two cases of fulminant hepatic failure in HIV-1-infected patients treated with didanosine (ddI).,ddI,fulminant hepatic failure
We report two cases of fulminant hepatic failure in HIV-1-infected patients treated with didanosine (ddI).,didanosine,fulminant hepatic failure
Generalized argyria after habitual use of AgNO3.,AgNO3,Generalized argyria
"A case of fluoxetine induced seizures, in a person with Down syndrome, is described.",fluoxetine,seizures
Seizures associated with fluoxetine therapy are uncommon.,fluoxetine,Seizures
Seizures associated with fluoxetine therapy.,fluoxetine,Seizures
"Although fluoxetine-induced headache occurred in one patient, the other five reported no side effects at the doses used.",fluoxetine,headache
"Sodium valproate and carbamazepine, antiepileptic drugs that are associated with a relatively low rate of adverse cutaneous reactions, should be added to the growing list of drugs that produce psoriasiform eruptions.",carbamazepine,psoriasiform eruptions
"Sodium valproate and carbamazepine, antiepileptic drugs that are associated with a relatively low rate of adverse cutaneous reactions, should be added to the growing list of drugs that produce psoriasiform eruptions.",Sodium valproate,psoriasiform eruptions
We present findings from three patients who experienced a psoriasiform eruption apparently due to the antiepileptic agents sodium valproate and carbamazepine.,carbamazepine,psoriasiform eruption
We present findings from three patients who experienced a psoriasiform eruption apparently due to the antiepileptic agents sodium valproate and carbamazepine.,sodium valproate,psoriasiform eruption
Severe diffuse interstitial pneumonitis induced by carmustine (BCNU).,BCNU,Severe diffuse interstitial pneumonitis
Severe diffuse interstitial pneumonitis induced by carmustine (BCNU).,carmustine,Severe diffuse interstitial pneumonitis
