"damage_class","narr_cause"
"Substantial","A loss of engine power for undetermined reasons."
"Substantial","The pilot's improper recovery from a bounced landing."
"Substantial","The pilot's inadvertent water landing on amphibious floats with the wheels extended, which resulted in the airplane nosing over.  A factor associated with the accident was the pilot's diverted attention during departure."
"Destroyed","the pilot's failure to follow proper procedures/directives, and the airplane's inability to climb while maneuvering after takeoff. Factors contributing to the accident were improperly mixed aerial application materials (fire retardant slurry), the high aircraft weight and balance, and  the pilot's diverted attention."
"Substantial","The partial loss of engine power due to undetermined reasons.  A contributing factor was the pilot's inadequate landing flare which resulted in a hard landing."
"Substantial","The pilot's selection of an unsuitable area for taxiing, which resulted in running the airplane's float aground.  Factors contributing to the accident were the hidden obstructions underwater, and the excessive taxi speed."
"Substantial","The flight instructor's delayed remedial action, and the private pilot's failure to maintain airspeed, which resulted in an inadvertent stall/spin."
"Substantial","The pilot's decision to conduct the flight with a known deficiency in the aircraft, a failure by the pilot to execute a precautionary landing due to ""sluggish"" performance during takeoff, the loss of engine power due to the malfunction of the left magneto, and the lack of suitable terrain for a forced landing.  Contributing factors were the low ambient light due to the time of day (night), and the tree line at the edge of the field."
"Substantial","the pilot encountering settling with power.  A factor contributing to the accident was the tailwind."
"Substantial","The pilot's misjudgment of distance and altitude.  Contributing factors were the pilot's diverted attention and the runway localizer antenna."
"Substantial","The CFI's  failure to maintain directional control during landing roll and the unsuccessful attempt at a go around.  A factor was the ditch."
"Substantial","Loss of control for undetermined reasons."
"Substantial","The pilot's failure to abort the takeoff when diminished performance was noted.  A factor was carburetor icing, accumulated before the takeoff attempt."
"Substantial","The collapse, for undetermined reasons, of the left main landing gear spoked-wheel structure."
"Substantial","An improper decision by the pilot due to a failure to land at an intermediate airport, and the unsuitable terrain for a forced landing encountered.  Contributing factors were the pilot's disorientation (becoming lost), fuel exhaustion, soft terrain encountered at the forced landing site, and inadequate assistance provided by ATC."
"Substantial","The pilot's improper preflight planning/preparation that resulted in the airplane's gust lock being left installed which resulted in a loss of control during the takeoff roll and damage to the airplane when it exited the departure end of the runway and collided with trees."
"Substantial","The corroded throttle cable resulting in a loss of engine power.  Factors were the inadequate annual inspection, the unsuitable terrain encountered during the forced landing, the ditch, and the fence."
"Substantial","The flight instructor's improper recovery from a bounced landing."
"Substantial","The pilot's premature lift-off which precipitated an in-flight loss of control, and subsequent collision with terrain."
"Destroyed","The pilot's failure to maintain clearance from terrain while maneuvering inside a box/blind canyon, resulting in an in-flight collision with terrain.  A factor contributing to the accident was the box/blind canyon."
"Substantial","The pilot's overrotation after take off, which resulted in an inadvertent stall/mush.  A factor was the pilot's decision to take off with a tailwind."
"Substantial","The pilot's improper flare resulting in a hard landing.  Factors contributing to the accident were the quartering tailwind, and the inadvertent water loop."
"Substantial","A total loss of engine power due to a seized cylinder, and the pilot's improper decision to conduct the flight with a known deficiency to the engine."
"Destroyed","the pilot's selection of an inadequate altitude for crossing mountainous terrain, resulting in a collision with trees. A contributing factor was the downdraft."
"Substantial","The pilot's excessive rotation and his failure to attain climb which resulted in a stall/mush."
"Substantial","The pilot's failure to maintain directional control during landing roll."
"Substantial","the pilot-in-command failure to obtain/maintain proper rate of climb, resulting in a collision with terrain. Contributing factors were the high density altitude and exceeding the airplane's forward center of gravity limit."
"Substantial","The airplane encountered unsuitable terrain and the pilot applied excessive braking during the aborted takeoff.   A factor contributing to the accident was the sandy terrain."
"Substantial","The pilot's excessive maneuvering and failure to maintain aircraft control, following a partial power loss during the initial climb, which resulted in an inadvertent stall/spin.  A factor in the accident was an inadequate annual condition inspection performed by the certificated mechanic."
"Substantial","the loss of control due to the encounter with the dust devil."
"Substantial","A bird strike during takeoff, which resulted in damage to the right wing."
"Substantial","The pilot's failure to conduct an adequate preflight inspection of the fuel resulting in fuel exhaustion and a subsequent forced landing.  A contributing factor was the rocky terrain encountered during the forced landing."
"Destroyed","The in-flight cabin fire as result of non-compliance with an AD and a Service Bulletin.  A contributing factor to the accident was night conditions."
"Substantial","The pilot's inadequate preflight and in-flight planning of fuel to complete the flight that resulted in the exhaustion of the fuel supply."
"Substantial","The pilot's improper flare.  A factor was the shifting wind."
"Substantial","the pilot's failure to maintain adequate airspeed during the go-around resulting in an inadvertent stall.  A contributing factor was haze."
"Substantial","The pilot's failure to maintain airspeed during a go-around attempt, which resulted in an inadvertent stall and a subsequent impact with trees.  A factor was the pilot's delayed initiation of the go-around."
"Substantial","The pilot's selection of an unsuitable landing site, and failure to maintain clearance with trees,  which resulted in the main rotor blade striking a tree."
"Substantial","The pilot's failure to maintain proper rate of descent resulting in a hard landing and subsequent nose gear separation.  Contributing factors were the turbulent crosswind conditions the pilot encountered just before touchdown."
"Substantial","The pilots improper decision to continue on en route into an area of forecast reduced visibility without sufficient fuel to divert to a suitable alternate airport, and his subsequent inadvertent exhaustion of the aircraft's fuel supply. Factors include reduced visibility due to forest fire smoke, and rough/uneven terrain at the location where the pilot found it necessary to make a forced landing."
"Destroyed","the pilot's failure to obtain and maintain adequate main rotor rpm, resulting in blade flapping and subsequent blade contact with the airframe, severing of the tailboom, and causing loss of aircraft control. Contributing factors were the high gusty winds, and the pilot's lack of proper certification."
"None","The failure of the ground agent to follow procedures and directives and to maintain a visual lookout due to a diversion of attention caused by paperwork being sucked toward the rotating propeller, resulting in collision between her hand and the propeller."
"Substantial","pilot's failure to maintain directional control and his inadequate compensation for wind.  A factor was the crosswind."
"Substantial","The pilot's failure to attain lift-off speed and his failure to abort the takeoff."
"Substantial","The pilot's failure to maintain adequate altitude and clearance in hilly terrain.  A factor contributing to the accident was the performance of a low altitude flight maneuver."
"Substantial","fuel starvation.  A contributing factor was the lack of suitable terrain for the forced landing."
"Substantial","The in-flight failure of a carburetor/fuel line fitting, resulting in loss of engine power, a forced landing to unsuitable terrain, and a ground collision with a farm vehicle during the emergency landing."
"Substantial","The pilot's selection of an unsuitable runway for takeoff, which precipitated an in-flight loss of control and subsequent collision with terrain."
"Substantial","the failure of the pilot-in-command to maintain sufficient airspeed while maneuvering. The initial stages of a stall/mush condition, and the low maneuvering altitude due to the agricultural application pass, were contributing factors."
"Substantial","The pilot's inadequate preflight inspection, which resulted in fuel contamination and subsequent loss of engine power.  A factor in this accident was that the wing tank fuel drains were wire closed and could not be used."
"Substantial","The locked brake and the aircraft control not being possible due to the locked brake."
"Substantial","A loss of power while conducting aerial application to cotton crops due to failure of a magneto housing, and the resultant emergency descent and landing to an unsuitable field, causing the collision with a tree."
"Substantial","The probable cause of this accident was the pilot's failure to maintain directional control of the airplane during the takeoff roll.  Differences in control forces and aircraft handling due to initiating the takeoff without fully retracting the flaps is a contributing factor."
"Destroyed","The pilot's inadequate in-flight planning/decision resulting in flight into adverse weather, and his failure to maintain aircraft control resulting in overstress of aircraft.   A factor was the thunderstorm activity."
"Substantial","the pilot's inadequate preflight preparation, and his failure to maintain airspeed which resulted in an inadvertent stall.  Contributing factors were the high density altitude conditions, the terrain barrier (berm)."
"Substantial","The loss of engine power for undetermined reasons.  High vegetation was a factor."
"Substantial","pilot's failure to maintain directional control during landing roll, resulting in an inadvertent ground loop."
"Substantial","The failure by the flight crew to abort the takeoff, as well as a failure by the flight instructor to properly monitor takeoff performance.  Contributing factors to the accident were the flight crew's failure to calculate required takeoff distance, considering existing density altitude and runway surface/condition, and to utilize all available runway length."
"Substantial","The pilot's failure to initiate a timely go-around, which resulted in his landing the airplane long and fast.  Factors included low ceilings and the airplane's initial misalignment with the runway."
"Substantial","The pilot's failure to maintain sufficient airspeed while maneuvering to return to the airport.  A reduction in handling quality and the distraction due to the open canopy were contributing factors."
"Substantial","The probable cause of this accident was a failure to maintain the proper glide path and sufficient obstacle clearance while on final approach."
"Substantial","A loss of engine power due to fuel exhaustion as a result of the fuel pump failure.  Contributing to the accident was the wheat field."
"Substantial","The pilot's improper flare, and his failure to maintain adequate airspeed  which resulted in an inadvertent stall."
"Substantial","The pilot's improper flare."
"Substantial","Directional control not obtained/maintained during the aborted takeoff."
"Substantial","The vehicle driver's failure to maintain clearance of the airplane."
"Substantial","the pilot's failure to maintain clearance with the high grass during the landing roll, which resulted in a ground loop."
"Substantial","Inadequate visual lookout by both the accident pilot and the pilot of the other airplane.  An additional cause is the arrival procedure used which resulted in a congested traffic pattern and the subsequent inadequate visual separation of the airplanes.  Factors associated with the accident are the gusty crosswind, the pilot of the other aircraft landed longer than ATC expected, and the stall/spin encountered during the pilot's attempted remedial action."
"Substantial","the pilot-in-command's improper flare resulting in a hard landing. Contributing factors were the pilot's improper remedial action, and the second pilot's inadequate monitoring of the flight."
"Substantial","The pilot failure to follow the published aborted landing procedures, with the retraction of the flaps to 10 degrees prior to reaching a safe altitude and airspeed, which resulted in an uncontrolled descent."
"Substantial","The pilot's failure to maintain directional control of the aircraft.  The open window diverting the pilot's attention was a contributing factor."
"Substantial","Power loss during cruise flight for undetermined reasons.  Factors include mountainous terrain and trees."
"Substantial","The pilot's failure to maintain terrain clearance.  A factor was low altitude flight."
"Substantial","The failure of the pilot to clear the engine during a prolonged approach at idle power resulting in the engine hesitating during application of power to arrest the descent for landing touchdown resulting in a hard landing and separation of the left main landing gear wheel. Contributing to the accident was incomplete fusion of the weld joint between the left main landing gear axle and wheel spacer and the lower than normal idle setting of the engine."
"Substantial","The pilot's failure to maintain directional control of the airplane during the landing roll."
"Substantial","The landing gear collapsed for undetermined reasons."
"Destroyed","the pilot's inadequate in-flight planning resulting in the glider impacting terrain short of the runway, and the pilot's subsequent abrupt handling of the glider when it became airborne again, which resulted in a hard second landing.  A contributing factor was the downdraft weather condition."
"Substantial","The pilot's failure to correct a settling-with-power condition during a helicopter landing flare/touchdown, resulting in a hard landing and roll over."
"Substantial","The pilot's inadequate remedial action when responding to the swerve/veer of the tailwheel equipped aircraft, leading to a failure to maintain directional control during the landing roll. Factors include the pilots lack of experience in the make and model aircraft (less than one hour)."
"Destroyed","The pilot's failure to maintain clearance with the trees while executing an instrument approach.  Contributing factors were the clouds and obscuration weather conditions."
"Substantial","The inflight fire and loss of engine power due to undetermined reasons.  Factors associated with the accident were the lack of suitable terrain on which to land and the corn crop which was contacted during the landing."
"Substantial","The pilot's inadequate compensation for wind conditions during the takeoff run, which resulted in a loss of control and subsequent nose over.  A factor associated with the accident was wind gusts."
"Substantial","The pilot was not able to maintain clearance with the trees when the airplane encountered a downdraft at a low altitude.  An additional cause was the pilot's inadequate evaluation of the approaching weather conditions.  Factors associated with the accident were the downdraft and the trees which were contacted."
"Substantial","the failure of the right main landing wheel master brake cylinder and the subsequent inadvertent ground loop during the landing roll by the pilot."
"Substantial","The shattering and separation of the forward right (pilot's) windscreen for undetermined reason(s)."
"Substantial","The proper glide path not obtained/maintained by the pilot.  The approach lights were a contributing factor."
"Substantial","The failure of the pilot to maintain directional control of the airplane during the takeoff roll following a short field approach and landing, resulting in the on-ground collision with a fence."
"Substantial","the pilot's inadequate preflight planning for a flight through high mountainous terrain, and the pilot committing himself to a mountainous flight path where terrain clearance was not possible.  Contributing factors were the high density altitude weather condition, and the rising mountainous terrain."
"Substantial","The probable cause of this accident was fuel exhaustion, due to a failure to properly compute initial fuel quantity and/or fuel consumption."
"Substantial","The pilot not performing an aborted takeoff.  A factor was the soybean crop."
"Substantial","The failure of the pilot to maintain directional control of the airplane during the takeoff roll resulting in the on-ground collision with a ditch and subsequent nose over of the airplane."
"Substantial","A loss of engine power due to fuel exhaustion as a result of leaking fuel caps.  Contributing to the accident was the lack of suitable terrain for a forced landing."
"Substantial","The pilot's failure to maintain altitude/clearance from terrain during initial climb, which resulted in an in-flight collision with water.   A factor associated with the accident was the pilot's diverted attention."
"None","The pilot of the balloon did not maintain aircraft control.  Factors contributing to the accident include the variable winds and the inadequate compensation for the wind conditions by the pilot in command."
"Destroyed","the pilot's failure to maintain clearance of the high mountain terrain.  Contributing factors were the high mountain terrain, and the high density altitude weather condition."
"Substantial","The loss of engine power as a result of the malfunction of the magneto switch."
"Substantial","A loss of engine power for undetermined reasons.  Contributing to the accident was the wet runway."
"Destroyed","Loss of engine power for undetermined reasons during takeoff, resulting in the airplane colliding with the ground and nosing over during the subsequent forced landing."
"Substantial","The pilot-in-command's failure to obtain a proper touchdown point.  A factor was the downdraft."
"Substantial","The certificated flight instructor's failure to follow published procedures for the application of carburetor heat, which resulted in a loss of engine power due to carburetor ice formation, and subsequent collision with trees during the forced landing. A factor was the lack of suitable terrain for landing."
"Substantial","The pilot's inadequate compensation for wind conditions during the landing roll, resulting in a nose over.   A factor associated with the accident was a wind gust."
"Substantial","The loss of engine power for undetermined reasons."
"Substantial","Fuel exhaustion as a result of the pilot's inattention to fuel consumption (flight duration) which resulted in a total loss of power and subsequent hard landing."
"Substantial","The pilot's failure to maintain adequate airspeed resulting in an inadvertent stall/spin of the airplane."
"Substantial","The pilot's failure to refuel the airplane resulting in a loss of engine power due to fuel exhaustion.  A contributing factor was the lack of suitable terrain for the forced landing."
"Substantial","Restricted movement of the left main landing gear resulting in the gear not extending for the landing.  A misaligned brake line was a factor."
"Substantial","The pilot's failure to attain the proper touchdown point on the helipad, which resulted in a rollover.  A factor in this accident was pilot fatigue."
"Substantial","The pilot failed to achieve clearance over the trees and wires.  Factors associated with the accident were the pilot failed to use all available runway, a downwind takeoff was performed, the tailwind, trees, and wires."
"None","The failure of both pilots to maintain adequate visual outlook while taxiing."
"None","The failure of both pilots to maintain adequate visual outlook while taxiing."
"Substantial","The pilot's failure to maintain the proper rate of descent on short final resulting in a touchdown short of the runway threshold.  Contributing factors were the variable winds and swampy terrain at the touchdown site."
"Substantial","The failure of both pilots to maintain adequate visual outlook while taxiing."
"Substantial","The failure of both pilots to maintain adequate visual outlook while taxiing."
"Substantial","The pilot's loss of directional control for undetermined reasons."
"Substantial","Fuel starvation due to the fuel contamination, the blocked fuel strainer, and the refueling truck's contaminated fuel.  A factor was the berm."
"Substantial","A loss of engine power for undetermined reasons."
"Substantial","The pilot's failure to maintain directional control during a bounced landing and recovery resulting in the aircraft's departing the runway.  Contributing factors were the high brush/vegetation the aircraft rolled into and the pilot's reduced visual acquisition of the runway environment due to the aircraft's nose high attitude."
"Substantial","The failure of the alternator.  A factor was the pilot's inability to manually extend the landing gear."
"Substantial","The pilot's inadequate compensation for wind conditions and his failure to maintain directional control during an aborted landing, which resulted in an in-flight collision with a culvert.  A factor associated with the accident was a wind gust."
"Substantial","the student pilot's failure to maintain aircraft control and subsequent inadvertent stall/mush into terrain during a soft field take off.  Contributing factors include the pilot's lack of experience and the high density altitude conditions."
"Substantial","The glider pilot's improper in-flight planning decision and his failure to attain the proper touchdown point.  Contributing to the accident were the inadvertent activation of the speed brakes, the pilot's failure to maintain altitude, the high vegetation and the ditch."
"Destroyed","the student pilot's improper handling of the airplane's controls (for reason undetermined), and the inadequate supervision of the flight instructor.  A contributing factor was the high density altitude weather condition."
"Substantial","Directional control not obtained/maintained by the pilot during landing."
"Substantial","The pilot's delay in aborting the landing.  A contributing factor was the excessive airspeed."
"Substantial","The failure of the axle shaft, which resulted in the separation of the right main tire/wheel from the airplane on landing."
"Substantial","The pilot's failure to maintain directional control of the airplane during the landing roll, which precipitated an aborted landing, and subsequent collision with trees."
"Destroyed","The pilot's failure to perform remedial action and maintain clearance with the rising mountainous terrain.  Contributing factors were the pilot's poor planning/decision, the rising terrain, and the high density altitude."
"Substantial","The pilot's failure to maintain directional control during the takeoff ground run.  Wind gusts and a tree were a factor."
"Substantial","Failure of the pilot to maintain a sufficient rate-of-climb and to obtain a safe altitude/clearance from the tree line at end of the runway.  Contributing factors were the uphill runway gradient and the trees."
"Substantial","The failure of the pilot to maintain clearance with a transmission wire resulting in the collision and substantial damage."
"Substantial","The loss of engine power as a result of the fracture of a compressor turbine blade due to fatigue.  A contributing factor was the lack of suitable terrain for the forced landing."
"Substantial","The pilot's inadequate compensation (excessive altitude) for crosswind conditions resulting in the gyroplane's rotors contacting the ground.  Contributing factors were the gusty crosswind conditions."
"Substantial","The loss of engine power for an undetermined reason.  A contributing factor was the lack of suitable terrain for the forced landing."
"Substantial","The pilot's fuel mismanagement with his failure to position the fuel selector to the proper tank which resulted in engine fuel starvation."
"Substantial","The pilot's inadequate preflight/planning inspection which resulted in fuel exhaustion and subsequent loss of engine power."
"Substantial","The pilot's failure to maintain the proper descent rate during the descent for landing.  A proper glide path was not attained, inadequate remedial action, and a fence were factors."
"Substantial","Pilot incapacitation from a massive subarachnoid hemorrhage (stroke.)"
"Substantial","The pilot's improper flare during approach."
"Substantial","The passenger became incapacitated as a result of a stroke which lead to the inadvertent interference with the flight controls."
"Substantial","Failure by the pilot-in-command to properly compensate for the wind conditions, as well as an improper landing flare.  Contibuting factors were the inadequate supervision by the flight instructor and the wind gusts."
"Substantial","the instructor's inadequate supervision of the flight and his premature raising of the flaps, resulting in a hard landing."
"Substantial","A jammed flight control system yoke/stick,  which made directional control of the airplane not possible, and resulted in an in-flight collision with terrain."
"Substantial","The pilot's failure to maintain adequate airspeed which resulted in a stall."
"Substantial","The pilot's inadequate decision and his improper setting of the propeller controls.  Contributing factors were a tailwind, high density altitude, and swampy terrain."
"Substantial","The pilot not maintaining sufficient airspeed during the takeoff, and the inadvertent stall encountered by the pilot.  The low altitude was a factor."
"Substantial","the student pilot's failure to maintain aircraft control during landing flare, which resulted in a hard landing.  Contributing factors include the porpoise and subsequent bounced landing and the student pilot's lack of total experience."
"Substantial","The pilot's selection of unsuitable terrain for landing, which resulted in the airplane impacting rough terrain.  A factor contributing to the accident was the rough/uneven terrain condition."
"Substantial","The pilot's failure to maintain clearance from power transmission lines while maneuvering."
"Substantial","The pilot's failure to maintain a visual lookout while taxiing to parking resulting in an on-ground collision with a pole.  A related factor was the diverted attention to the lineman."
"Substantial","The student pilot's failure to maintain adequate clearance from a building while taxiing."
"Destroyed","The flying pilot's failure to maintain adequate airspeed resulting in a stall/spin.   An additional cause was the flight instructor's inadequate supervision of the flight."
"Substantial","The student pilot's failure to maintain airspeed and the flight instructor's delayed remedial action, which resulted in an inadvertent stall during a simulated forced landing.  A factor was the rising terrain."
"Substantial","The pilot's improper recovery from a bounced landing and failure to maintain directional control resulting in the airplane going off the left side of the runway and colliding with a ditch."
"Substantial","The pilot's decision to make a precautionary landing to an unsuitable sod airstrip that resulted in a ground loop. A factor was tall  vegetation."
"Substantial","The pilot's failure to maintain clearance from terrain and trees during a low pass to examine a potential landing site."
"Substantial","the pilot's failure to maintain the minimum required airspeed for flight, which resulted in an inadvertent stall."
"Substantial","The pilot's inadequate in-flight planning/decision which resulted in fuel exhaustion and subsequent loss of engine power.  A related factor was the bean field."
"Substantial","The failure of the turbine section of the engine, and the unsuitable terrain encountered for the forced landing.  The low altitude was a factor."
"Substantial","The pilot's improper flare, which resulted in a hard landing."
"Substantial","The unsuitable landing area selected by the pilot and his lack of total experience in the accident airplane.  The gusting winds were a  contributing factor."
"Substantial","A loss of engine power due to a seized exhaust valve.  A related factor was the mowed hay field."
"Substantial","The pilot's misjudgment of distance  which resulted in the airplane landing short of the runway."
"Destroyed","the pilot's poor in-flight decision to fly so close to the ridge (looking for animals).  Contributing factors were the mountainous terrain condition, the downdraft weather conditions in high mountains, and the high density altitude weather condition."
"Substantial","The pilot's failure to maintain directional control during the landing rollout while landing in a crosswind which resulted in the airplane inadvertently veering off the runway and incurring damage when the pilot forced it into a ground loop to avoid entry into the water."
"Substantial","Separation of a hydraulic line from its landing gear motor fitting."
"Substantial","The pilot's failure to maintain directional control of the airplane during the landing roll.  Factors in the accident were the pilot's inadequate compensation for the crosswind condition, and the misjudged landing flare."
"Substantial","The dual student's inadequate aircraft control resulting in a hard landing.  Contributing factors include, the dual student's inadequate airspeed and high flare, the inadequate supervision by the instructor, the in-flight separation of the right main landing gear and the intentional wheels-up landing."
"Substantial","The pilot's delayed flare on landing that resulted in a hard landing."
"Destroyed","the pilot's abrupt pull up and his failure to maintain airspeed during a go-around, which resulted in an inadvertent stall/spin and impact with the terrain during the resultant uncontrolled descent."
"Substantial","The pilot's failure to maintain the proper approach speed while on final approach to the 2000 foot airstrip, and his excessive application of brakes while attempting to stop the aircraft during the resultant longer than normal landing roll. Factors include a slight tailwind."
"Substantial","the pilot's failure to refuel, resulting in fuel exhaustion and a subsequent loss of engine power. Contributing factors were the pilot's use of inappropriate medication, and the unsuitable terrain on which to make a forced landing."
"Substantial","The pilots improper management of fuel, which resulted in a loss of engine power due to fuel starvation."
"Minor","The failure of the left main landing gear retract cylinder support frame due to fatigue."
"Substantial","a total loss of engine power due to the failure of the main bearing, a loss of oil pressure and the seizure of a connecting rod, resulting in damage to the airplane during the subsequent forced landing."
"Substantial","The pilot's delay in initiating an aborted takeoff and his failure to establish climb out of ground effect.  Contributing factors were the high aircraft weight and high density altitude as well as the fence and berm, which the aircraft struck."
"Substantial","The loss of engine power due to the separation of a valve lifter."
"Minor","A collision with a deer during a night takeoff."
"Substantial","The pilot's inadequate recovery from a bounced landing, and his failure to maintain directional control.  Contributing factors were the cross wind, and the pilot's lack of experience in the make and model of the accident airplane."
"Substantial","The pilot's selection of unsuitable terrain for landing, resulting in a nose-over during the landing roll.  A factor contributing to the accident was rough/uneven terrain."
"Substantial","Aircraft control not maintained while hovering."
"Destroyed","The pilot's failure to follow procedures pertaining to mountain flying, and the pilot's failure to maintain airspeed that resulted in an inadvertent stall and subsequent in-flight collision with trees and terrain. A factor was the certified flight instructor inadequate supervision of the training flight."
"Substantial","Loss of engine power due to an engine bearing failure."
"Substantial","The unsuitable and soft terrain in the area of a precautionary landing, which resulted in a nose over.  Contributing factors in the accident were a false indication of smoke in the airplane during cruise flight, and weather conditions consisting of haze/smoke in the area."
"Substantial","The pilot's improper recovery from a bounced landing and his failure to maintain directional control."
"Substantial","The private pilot's excessive rotation and the flight instructor's delayed remedial action."
"Destroyed","The pilot's failure to maintain terrain clearance."
"Substantial","The pilot's failure to maintain aircraft control during landing roll, resulting in his attempt to go-around and an inadvertent stall/mush.  A contributing factor was the lack of suitable terrain for a forced landing."
"Destroyed","The pilot's intentional flight of the airplane into terrain in an act of suicide."
"Substantial","The pilot's improper decision to continue en route in cruise flight when his fuel supply became low, eventually leading to fuel exhaustion while on final approach to the destination airport. Factors include the fact that the final approach course took the aircraft over an open body of water."
"Substantial","The pilot's improper flare and recovery from a bounced landing.  A factor in the accident was the slow response time of the airspeed indicator."
"Substantial","The pilot's inadequate flare and his delay in executing an aborted landing.  A contributing factor was the dark night conditions."
"Substantial","A partial loss of engine power for an undetermined reason during the initial climb after takeoff that resulted in a collision with trees.  A contributing factor in the accident was rising terrain which was unsuitable for a forced landing."
"Destroyed","The pilot's failure to refuel the airplane prior to departure leading to fuel exhaustion during the flight,  the inadequate preflight/inflight planning, and the unsuitable terrain encountered by the pilot during the forced landing attempt.  Contributing factors were the pilot being fatigued, the night lighting condition, and the corn crop."
"Substantial","the pilot's improper recovery from a bounced landing, resulting in an inadvertent ground loop. A contributing factor was the flight instructor's inadequate supervision of the pilot."
"Substantial","The pilot's failure to maintain aircraft control during the landing flare."
"Substantial","The pilot's inadequate recovery from a bounced landing, and his failure to maintain directional control of the airplane.  A factor contributing to the accident was the pilot's excessive braking which resulted in a nose over."
"Destroyed","The pilot's failure to maintain adequate airspeed while on approach to land, which resulted in an inadvertent stall, and subsequent collision with trees."
"Substantial","Loss of engine power during takeoff due to an undersized gascolator gasket resulting in a loss of fuel flow to the engine.  A ditch was a factor."
"Substantial","The pilot's failure to maintain airspeed during a go-around, which resulted in an inadvertent stall."
"Substantial","The pilot inadvertently stalled the airplane during takeoff.  A factor was the tailwind."
"Substantial","the airplane's left main landing gear tire separated from its wheel during takeoff roll for an undetermined reason.  Contributing factors were the pilot's inability to maintain aircraft control during takeoff roll and the subsequent impact with the Visual Approach Slope Indicator box."
"Substantial","The pilot's inadequate evaluation of the wind/weather conditions resulting in a collision with an embankment during the takeoff run.  A factor contributing to the accident was a sudden wind shift to a tailwind."
"Substantial","the pilot's inadvertent flight into adverse weather conditions which resulted in the loss of thermal lift.  A contributing factor was the lack of suitable terrain for the forced landing."
"Substantial","The pilot's improper in-flight decision to continue the landing after losing visual contact with the runway, which resulted in his failure to obtain the proper touchdown point, and the subsequent overrun.  Factors in this accident were the clouds and low ceiling."
"Substantial","The failure of maintenance personnel to perform an adequate inspection of loose intake components, which resulted in a total loss of engine power and subsequent emergency descent, forced landing, and collision with terrain in dark night conditions."
"Destroyed","the pilot's failure to maintain adequate airspeed, which resulted in an inadvertent stall/spin.  A contributing factor was the intentional low pass/slow flight maneuver."
"Substantial","The pilot's failure to adequately compensate for the wind conditions during the landing roll.  Delayed remedial action and a high crosswind condition were factors."
"Substantial","The engine loss of power for undetermined reasons.  A contributing factor was the lack of suitable terrain for the forced landing."
"Destroyed","the pilot's inadequate preflight preparation, which resulted in fuel exhaustion and a subsequent loss of engine power, and his failure to maintain adequate airspeed during the forced landing, which resulted in an inadvertent stall/mush.  Factors included the changing wind conditions, the high density altitude, and the lack of suitable terrain for a forced landing."
"Substantial","The pilot's failure to maintain aircraft control following an inadvertent opening of the airplane's storm window."
"Substantial","The loss of engine power due to a  flooded carburetor.  A contributing factor was the lack of suitable terrain for the forced landing."
"Substantial","Fuel starvation due to the pilot's improper fuel management, the pilot's improper remedial actions during engine restart, and the unsuitable terrain encountered during the forced landing.  Additional factors included the inadequate flare and the dark night."
"Substantial","A missing flight control sealed bearing, which resulted in a loss of control in flight."
"Substantial","The pilot failed to verify the aircraft refueling and he did not follow emergency procedures for engine restart.  Factors to the accident included fuel starvation and the fence post."
"Substantial","The pilot's failure to maintain directional control during takeoff roll resulting in a ground loop.  A contributing factor was crosswind conditions."
"Destroyed","The pilot's improper preflight decision to takeoff on an up-sloping runway with a tailwind, which resulted in an inadvertent stall and collision with a tree.  Factors were the pilot's lack of familiarity with the geographic area, and a tailwind."
"Substantial","The pilot's inadequate evaluation of wind conditions while landing, which resulted in a downwind landing and an encounter with rough terrain when the airplane overran the intended landing area.  Factors associated with the accident were a tailwind, and rough and uneven terrain."
"Destroyed","The pilot's failure to maintain sufficient altitude/clearance while descending over mountainous terrain.  A factor was the night lighting conditions."
"Substantial","A warped right brake disc resulting in a veer to the right during the landing roll, and the aircraft's subsequent collision with a fence.  A contributing factor was the fence."
"Substantial","The failure of the pilot of the other airplane to maintain an adequate visual lookout, which resulted in a midair collision between the two airplanes."
"Substantial","The pilot's failure to maintain an adequate visual outlook during cruise climb, which resulted in a midair collision between the two airplanes."
"Minor","The failure of the pilot of the other airplane to maintain an adequate visual lookout, which resulted in a midair collision between the two airplanes."
"Minor","The pilot's failure to maintain an adequate visual outlook during cruise climb, which resulted in a midair collision between the two airplanes."
"Substantial","The fracture of the right main landing gear axle during landing roll.  Factors associated with the accident were corrosion of the landing gear axle, failure of company maintenance personnel to adequately inspect the axle and detect the corrosion, and rough and uneven terrain."
"Destroyed","Pilot incapacitation due to a heart attack resulting in a loss of control and the subsequent in-flight collision with a lake."
"Substantial","failure of the normal braking system, resulting in the airplane departing the end of the runway. A contributing factor was the airplane's slow acceleration during the takeoff roll."
"Substantial","the pilot's failure to maintain obstacle clearance."
"Substantial","The failure of one or more compressor turbine blades resulting in a shutdown of the engine during initial climb resulting in a forced landing.  Contributing factors were the eroded condition of the compressor turbine guide vane nozzles and the ditch which the aircraft encountered during the landing rollout."
"Minor","the failure of the pedestrian to perform a visual lookout while walking on the runway which resulted in a on-ground collision with the airplane."
"Substantial","maintenance personnel's failure to secure the landing skid oleo strut bolt during the last 50-hour inspection, causing the left rear skid to collapse and the tail rotor to strike the ground."
"Substantial","the contamination of the fuel system with water and a foreign material."
"Substantial","the pilot misjudged the landing flare, resulting in a hard landing, loss of directional control, and damage to the airplane."
